title,product_url,brand,price,rating,review_count,shipping
"Hyper Cyber NOVA Gaming Desktop AMD Ryzen 7 7800X3D, NVIDIA GeForce RTX 5090, 64GB DDR5, 1TB SSD, Windows 11 Home, RGB Lighting, WiFi, Ready to Use",https://www.newegg.com/hyper-cyber-nova-gaming-desktop-pcs-nvidia-geforce-rtx-5090-32gb-gddr7-amd-ryzen-7-7800x3d-64gb-ddr5-1tb-ssd-ssd-black/p/3D5-006Z-007N1,Hyper,7039.99,,,Free Shipping
"MSI Infinite (Tower) Gaming Desktop ,Intel Ultra9 285K, GeForce RTX 5090 Liquid, DDR5 6000 64GB(32GB*2), Gen 5 2TB M.2 NVMe, 360  Liquid Cooling, 1300W, USB Type-C, VR-Ready, Windows 11 Pro High-End",https://www.newegg.com/msi-infinite-rs-gaming-desktop-geforce-rtx-5090-liquid-intel-core-ultra-9-285k-64gb-ddr5-2tb-m-2-nvme-gen5-ssd-ai-2nvz9-1291us-black/p/N82E16883151592,MSI,6163.35,,,
PNY NVIDIA GeForce RTX 5090 Graphic Card 32 GB GDDR7 Full-height,https://www.newegg.com/pny-technologies-inc-nvidia-geforce-rtx-5090-32gb-video-card-nvidia-triple-fans/p/1DW-000M-001Y0,PNY,3830.01,,,Free Shipping
"ASUS ROG Strix Scar- 16"" GeForce RTX 5090 Laptop GPU - Intel Core Ultra 9 275HX - 32GB Memory - 2 TB PCIe SSD - Wi-Fi 7 Windows 11 Pro GAMING LAPTOP - 240 Hz (G635LX-XS97 )",https://www.newegg.com/asus-rog-strix-16-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-275hx-wqxga-32gb-memory-2-tb-pcie-ssd/p/N82E16834236575,ASUS,3749.99,5.0,1,Free Shipping
ZOTAC SOLID  GeForce RTX 5090 32GB 512-Bit GDDR7 PCI Express 5.0 x16 DLSS 4.0 Video Card ZOTAC GEFORCE RTX 5090 32GB SOLID,https://www.newegg.com/zotac-rtx-5090-solid-geforce-rtx-5090-32gb-graphics-card-triple-fans/p/1FT-000M-00407,ZOTAC,3799.98,,,Free Shipping
"ZOTAC Gaming GeForce RTX 5090 Solid OC 32GB GDDR7, Engine Clock 2422 MHz, Reinforced Metal Mid-Frame, IceStorm 3.0 Advanced Cooling. Bundle with Targus dockstation and Backpack Alienware.",https://www.newegg.com/p/1VK-0015-005Z7,ZOTAC,3695.0,,,
"Hyper Cyber NOVA Gaming Desktop AMD Ryzen 7 7800X3D, NVIDIA GeForce RTX 5090, 64GB DDR5, 2TB SSD, Windows 11 Home, RGB Lighting, WiFi, Ready to Use",https://www.newegg.com/hyper-cyber-nova-gaming-desktop-pcs-nvidia-geforce-rtx-5090-32gb-gddr7-amd-ryzen-7-7800x3d-64gb-ddr5-2tb-ssd-ssd-black/p/3D5-006Z-007N2,Hyper,7139.99,,,Free Shipping
"Hyper Cyber NOVA Gaming Desktop AMD Ryzen 7 7800X3D, NVIDIA GeForce RTX 5090, 64GB DDR5, 4TB SSD, Windows 11 Home, RGB Lighting, WiFi, Ready to Use",https://www.newegg.com/hyper-cyber-nova-gaming-desktop-pcs-nvidia-geforce-rtx-5090-32gb-gddr7-amd-ryzen-7-7800x3d-64gb-ddr5-4tb-ssd-ssd-black/p/3D5-006Z-007N3,Hyper,7319.99,,,Free Shipping
Andromeda Insights V3 Quasar 50 - RTX 5090 32GB GDDR7 | Ryzen 9 9950X3D 4.3 GHz (5.7 GHz Turbo Boost) | 32GB DDR5 6000MHz | 2TB Gen4 SSD | 1200W Gold PSU | ARGB Fans | Wi-Fi + BT | Win 11,https://www.newegg.com/andromeda-insights-quasar-gaming-desktop-pcs-nvidia-rtx-5090-amd-ryzen-9-9950x3d-32gb-ddr5-2tb-nvme-ssd-v3-50-black/p/3D5-006J-000C1,Andromeda,4749.99,,,Free Shipping
PNY GeForce RTX 5090 OC 32GB 512-Bit GDDR7 DLSS 4.0 PCI Express 5.0 x16 Graphics Card VCG509032TFXPB1-O,https://www.newegg.com/pny-technologies-inc-geforce-rtx-5090-graphics-card/p/1FT-000P-00662,PNY,3999.99,,,Free Shipping
"RefurbishedMSI Raider 18 HX AI Gaming Laptop Intel Core Ultra 9 285HX NVIDIA GeForce RTX 5090 64GB Memory 2 TB NVMe SSD 18.0"" UHD+ Windows 11 Pro (A2XWJG-069US)",https://www.newegg.com/msi-raider-18-0-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-285hx-64gb-memory-2-tb-nvme-ssd/p/N82E16834156881,MSI,3999.99,,,Free Shipping
Andromeda Insights V3 Quasar 50 - RTX 5090 32GB GDDR7 | Ryzen 7 9800X3D 4.7 GHz (5.2 GHz Turbo Boost) | 32GB DDR5 6000MHz | 2TB Gen4 SSD | 1200W Gold PSU | ARGB Fans | Wi-Fi + BT | Win 11,https://www.newegg.com/andromeda-insights-quasar-gaming-desktop-pcs-nvidia-rtx-5090-amd-ryzen-7-9800x3d-32gb-ddr5-2tb-nvme-ssd-v3-50-black/p/3D5-006J-000C0,Andromeda,4499.99,,,Free Shipping
"HP OMEN 45L GT22-3090 Gaming PC, Intel Core Ultra 9 285K 3.2GHz Processor; NVIDIA GeForce RTX 5090 32GB GDDR7; Kingston FURY 64GB DDR5-5600 XMP RGB Heatsink RAM; 2TB NVMe SSD",https://www.newegg.com/hp-gaming-desktop-pcs-nvidia-geforce-rtx-5090-32gb-gddr7-intel-core-ultra-9-285k-64gb-ddr5-2tb-nvme-ssd-omen-45l-black/p/3D5-0005-03SF5,HP,4769.99,,,Free Shipping
Andromeda Insights Quasar 50 Frame - RTX 5090 32GB GDDR7 | Ryzen 9 9950X3D 4.3 GHz (5.7 GHz Turbo Boost) | X870 | 32GB DDR5 6000MHz | 2TB Gen4 SSD | 1200W Gold PSU | ARGB Fans | Wi-Fi + BT | Win 11,https://www.newegg.com/andromeda-insights-quasar-gaming-desktop-pcs-geforce-rtx-5090-amd-ryzen-9-9950x3d-32gb-ddr5-2tb-nvme-ssd-black/p/3D5-006J-00055,Andromeda,5249.99,5.0,1,Free Shipping
